Pre-Need / Insurance,Mirelda's Pre-Need Funeral Services,,"13890 Mile 15 West, Mercedes TX 78570",,10,$582,000,New / Ready
Crematory / Mortuary,Garza Salinas Crematorium,,"804 W Moore Rd, Pharr TX 78577",,13,$576,000,New / Ready
Funeral Home,Memorial Funeral San Juan,,"San Juan TX 78589",,14,$562,000,New / Ready
Funeral Home,Family Funeral Home,,"McAllen TX 78502",,8,$516,000,New / Ready
Funeral Home,Rivera Funeral Home,(956) 686-2224,"1901 Pecan Blvd, McAllen TX 78501",www.riverafuneralhomes.net,7,$478,000,New / Ready
Cemetery / Memorial Park,Fe Celestia Gardens Cemetery,(956) 631-1822,"1111 W Nolana Ave, McAllen TX 78504",,5,$466,000,New / Ready
Pre-Need / Insurance,Valley Pre Need Funeral,(956) 259-8059,"117 N 13th Ave, Edinburg TX 78541",,4,$414,000,New / Ready
Crematory / Mortuary,Memorial Pet Passages,(956) 720-4414,"208 E Canton Rd, Edinburg TX 78539",www.memorialpetpassages.com,5,$404,000,New / Ready
Pre-Need / Insurance,Valley Wide Funeral Plans,(956) 929-5715,"926 W Nolana Loop Ste C, Pharr TX 78577",,3,$399,000,New / Ready
Funeral Home,Donna Memorial Funeral,(956) 461-6000,"501 N Salinas Blvd, Donna TX 78537",,4,$384,000,New / Ready
Casket / Monument,Celestial Discount Caskets,(956) 386-0420,"5019 S Hummer Ln, Edinburg TX 78539",,3,$370,000,New / Ready
Funeral Home,Hawkins Funeral Homes,(956) 969-0030,"2222 E Business 83, Weslaco TX 78596",www.hawkinsfh.com,4,$361,000,New / Ready
Cemetery / Memorial Park,Mid Valley Cemetery,,"Donna TX 78537",,5,$357,000,New / Ready
Cemetery / Memorial Park,Juan Cemetery Association,,"105 Amy Dr, San Juan TX 78589",,5,$340,000,New / Ready
Cemetery / Memorial Park,Garden of Angels Cemetery (Blvd),,"3045 Garden of Angels Blvd, Mission TX 78572",,3,$326,000,New / Ready
Casket / Monument,Edelmira Headstones,,"804 W Moore Rd, Pharr TX 78577",,3,$312,000,New / Ready
Funeral Home,Zavala Family Funeral,(956) 994-3144,"2916 Royal Palm Cir, McAllen TX 78501",,4,$301,000,New / Ready
Cemetery / Memorial Park,Serenity Cemetery,,"1200 E Savannah Ave Ste 7, McAllen TX 78503",,2,$294,000,New / Ready
Funeral Home,Salinas Funeral Home,(956) 262-2971,"304 E Edinburg Ave, Elsa TX 78543",www.salinasfh.com,3,$282,000,New / Ready
Cemetery / Memorial Park,Garden of Angels Cemetery (Abram),(956) 519-4749,"112 S Abram Rd, Mission TX 78572",,4,$274,000,New / Ready
Pre-Need / Insurance,Perez Financial Group,,"711 W Nolana Ave Ste 101A, McAllen TX 78504",www.perezfinancialins.com,20,$11,453,000,New / Ready
Pre-Need / Insurance,JOA Insurance,(956) 448-4822,"200 S Sugar Rd, Edinburg TX 78539",www.joainsurance.com,18,$4,539,000,New / Ready
Floral / Gifts,Madrigals Flower Shop,(956) 585-3703,"1632 N Bryan Rd, Mission TX 78572",www.madrigalsflowershop.com,31,$8,461,000,New / Ready
Floral / Gifts,Peonies Flower Shop,(956) 329-1211,"1116 S Closner Blvd, Edinburg TX 78539",www.myfavoriteflowershop.com,21,$6,506,000,New / Ready
Floral / Gifts,Marylu (McAllen TX Florist),(956) 972-0382,"915 W Hackberry Ave, McAllen TX 78501",www.mcallentxflorist.com,5,$2,928,000,New / Ready
Floral / Gifts,Floral & Craft Expressions,(956) 618-4438,"2800 N 10th St Ste B, McAllen TX 78501",www.mcallenfloralandcraft.com,8,$2,684,000,New / Ready
Floral / Gifts,Michael Allen's Flowers,(956) 682-3882,"702 N Bicentennial Blvd Ste 300, McAllen TX 78501",www.michaelallens.com,7,$2,256,000,New / Ready
Floral / Gifts,Trésor Bouquets,(956) 877-9777,"1305 Pecan Blvd, McAllen TX 78501",www.tresorbouquets.com,8,$2,069,000,New / Ready
Floral / Gifts,Cantu Special Events,(956) 668-9475,"520 S Broadway, McAllen TX 78501",www.cantuspecialevents.com,11,$1,975,000,New / Ready
Floral / Gifts,La Casita De Las Flores,(956) 581-2130,"905 W Veterans Blvd, Palmview TX 78572",www.lacasitadelasflores.org,17,$1,933,000,New / Ready
Floral / Gifts,Rodriguez Wholesale Flowers,(956) 213-8618,"600 N 23rd St Ste C, McAllen TX 78501",www.rodriguezwholesaleflowers.com,9,$1,543,000,New / Ready
Floral / Gifts,Rodriguez Flower Shop,(956) 664-8162,"120 N 10th St, McAllen TX 78501",www.rodriguezflowershop.com,11,$1,530,000,New / Ready
Floral / Gifts,Flower Shack Tx,(956) 383-1046,"3123 S Closner Blvd, Edinburg TX 78539",www.flowershacktx.com,5,$1,473,000,New / Ready
Floral / Gifts,The Secret Garden Floral & Events,(956) 432-5289,"1003 W Maple Ave, McAllen TX 78501",www.secretgardenrgv.com,8,$1,473,000,New / Ready
Floral / Gifts,Oralia Flowers & Gifts (McAllen),(956) 800-5310,"2412 Pecan Blvd, McAllen TX 78501",www.oraliaflowersandgifts.com,4,$1,404,000,New / Ready
Floral / Gifts,Gloria's EC Flower Shop,(915) 626-4735,"3700 Dove Ave W Ste 400 C, McAllen TX 78504",www.gloriasecflowershop.com,11,$1,371,000,New / Ready
Floral / Gifts,Sackk's Flowers & Gifts,(956) 514-1188,"310 S Texas Ave, Mercedes TX 78570",www.sackksflowersandgifts.com,6,$1,346,000,New / Ready
Floral / Gifts,Bonita Flowers & Gifts,(956) 686-4830,"610 N 10th St, McAllen TX 78501",www.bonitaflowersandgifts.com,6,$1,246,000,New / Ready
Floral / Gifts,Amy's Flower Shop,(956) 583-7770,"Edinburg TX 78540",www.amyflowersriograndevalley.com,7,$1,245,000,New / Ready
Floral / Gifts,Nancy's Flower Shop,(956) 787-5187,"700 E Sam Houston Blvd, Pharr TX 78577",www.nancysflowershop.com,6,$1,212,000,New / Ready
Floral / Gifts,Jac-lin's Florist,(956) 686-5252,"1352 Pecan Blvd Ste 10, McAllen TX 78501",www.jaclinsflorist.com,7,$1,180,000,New / Ready
Floral / Gifts,Arcis Flower Shop,(956) 380-2881,"422 E University Dr, Edinburg TX 78539",www.arcisflowershop.com,7,$1,169,000,New / Ready
Floral / Gifts,Rodriguez Flowershop,(956) 664-8162,"120 N 10th St Ste A, McAllen TX 78501",www.rodriguezflowers.com,7,$1,156,000,New / Ready
Floral / Gifts,Forget-Me-Not Flowers & Gifts,(956) 313-1847,"107 E Pecan Blvd Ste A, McAllen TX 78501",www.valleygirlflorist.com,5,$1,134,000,New / Ready
Floral / Gifts,Paolas Flower & Bridal Shop,(956) 969-4590,"435 S Texas Blvd Ste A, Weslaco TX 78596",www.paolasflowershop.net,6,$1,125,000,New / Ready
Floral / Gifts,Royal Garden Flower Shop,(956) 854-4422,"259 S Texas Blvd, Weslaco TX 78596",www.royalgardenflowershop.com,6,$970,000,New / Ready
Floral / Gifts,Blooming Bloomers & More,,"2601 Wildwood Dr, Weslaco TX 78596",,7,$982,000,New / Ready
Floral / Gifts,Oralia Flowers & Gifts (Pharr),(956) 702-8496,"401 N Cage Blvd, Pharr TX 78577",www.oraliaflowers.com,6,$979,000,New / Ready
Floral / Gifts,M & E's Flower Shop,(956) 900-4054,"1301 N 23rd St Ste 7, McAllen TX 78501",www.mesflowershop.com,6,$879,000,New / Ready
Floral / Gifts,Tania's Flower Arrangements,(956) 781-3446,"2604 N Raul Longoria Rd Ste 110, San Juan TX 78589",www.taniasflowers.com,5,$860,000,New / Ready
