Vertical,Company Name,Phone,Address,Website,Employees,Est. Annual Revenue,Door-Knock Status
Skincare,Natural Glow Skincare,(956) 862-8935,"4325 N 23rd St Ste B, McAllen, TX 78504",,8,438000,New / Ready
Salon,Bliss Hair Salon and Spa,,"511 W Nolana Ave, McAllen, TX 78504",,7,156000,New / Ready
Wellness,Aramat Pilates & Spa,(956) 213-8393,"6624 N 10th St Ste A, McAllen, TX 78504",aramatpilatesandspa.com,7,1098000,New / Ready
Massage,Natural Healing Therapy,(956) 249-3177,"4020 N 22nd St, McAllen, TX 78504",mcallenrelaxationmassage.com,7,1252000,New / Ready
Spa / MedSpa,Eternal Wellness Medspa & Salon,(956) 668-0404,"8801 N 10th St Ste 150, McAllen, TX 78504",eternalwellnessrgv.com,7,775000,New / Ready
Salon,D'Angelo's Hair Spa,(956) 887-0143,"3401 Auburn Ave Ste C, McAllen, TX 78504",dangeloshairspasalon.com,6,982000,New / Ready
Spa / MedSpa,Beauty Sculpt Spa,(956) 627-4896,"1109 W Nolana Ave Ste 302, McAllen, TX 78504",beautysculptspa.com,6,1003000,New / Ready
Salon,Virtuous Salon,(956) 929-0082,"6401 N 10th St Ste 110, McAllen, TX 78504",avirtuousalon.com,6,798000,New / Ready
Spa / MedSpa,The Man Cave Spa,(956) 992-9503,"5723 N 10th St Ste 190, McAllen, TX 78504",themancavespa.com,6,852000,New / Ready
Barber,Rio Men Hair Care,,"10331 N 23rd Ln, McAllen, TX 78504",,6,209000,New / Ready
Barber,Barber Shots / Gray Ghost 42,(956) 627-5249,"7001 N 10th St Ste A2, McAllen, TX 78504",,6,706000,New / Ready
Spa / MedSpa,ionSpa,,"7017 N 10th St Ste N2-343, McAllen, TX 78504",theionspa.com,6,905000,New / Ready
Body Sculpting,Cryo Body Perfections,(956) 627-1231,"5103 N 10th St, McAllen, TX 78504",cryobp.com,6,847000,New / Ready
Spa / MedSpa,RGV Rejuvenate,(956) 358-1291,"1005 E Nolana Ave Ste C, McAllen, TX 78504",rgvrejuvenate.com,6,846000,New / Ready
Barber,Maxwell Shop,(956) 631-7467,"4917 N 10th St, McAllen, TX 78504",by-maxwell.com,6,854000,New / Ready
Salon,Bliss G Beauty,(956) 595-8489,"2407 Buddy Owens Ave, McAllen, TX 78504",,6,151000,New / Ready
Salon,Hair Extensions by Corie VanNest,(956) 342-9933,"McAllen, TX 78504",,6,449000,New / Ready
Spa / MedSpa,Alpha Male Spa,(956) 655-6365,"2208 Primrose Ave Ste J2, McAllen, TX 78504",alphamalespa.com,6,913000,New / Ready
Salon,Brazilian Brands Boutique & Salon,,"4111 N 10th St, McAllen, TX 78504",,5,353000,New / Ready
Massage,Amazing Vitality Massage,(956) 325-6524,"1520 W Dove Ave Ste E, McAllen, TX 78504",amazingvitalitymassage.com,5,900000,New / Ready
Spa / MedSpa,Aquazul Spa,(956) 258-3144,"6401 N 10th St Ste 100, McAllen, TX 78504",,5,529000,New / Ready
Salon,Limelight,(956) 928-1527,"400 E Nolana Ave, McAllen, TX 78504",,5,372000,New / Ready
Barber,Seasons Barber Shop,(956) 574-7450,"417 W Nolana Ave Ste A, McAllen, TX 78504",,5,124000,New / Ready
Salon,Valley Style Hair Salon,,"6421 N 10th St Ste 110, Edinburg, TX 78504",,5,192000,New / Ready
Salon,Salon Hair Beauty & Spa,(956) 631-5991,"511 W Nolana Ave, McAllen, TX 78504",,5,462000,New / Ready
Salon,GC Salon,(956) 683-8400,"6624 N 10th St Ste L, McAllen, TX 78504",gcsalon.net,5,838000,New / Ready
Lashes / Brows,Wink & Wax by Merl,(956) 367-3884,"6400 N 10th St Ste D, McAllen, TX 78504",,4,367000,New / Ready
Lashes / Brows,HD Brow Studio & Beauty Spa,(956) 800-4576,"100 E Nolana Ave Ste 190, McAllen, TX 78504",,4,257000,New / Ready
Nails,Lux Nail Studio,(956) 279-4336,"6421 N 10th St Ste 140, McAllen, TX 78504",,4,278000,New / Ready
Barber,Rio Men Haircare,(956) 573-5555,"1701 W Dove Ave Ste B, McAllen, TX 78504",riomenhaircare.com,4,870000,New / Ready
Barber,Hollywood Cuts,(956) 686-8700,"5261 N 23rd St, McAllen, TX 78504",,4,354000,New / Ready
Salon,Ultimate Hair Design Studio,(956) 631-7121,"4800 N 10th St Ste G, McAllen, TX 78504",,4,119000,New / Ready
Nails,Merle Norman Nail Care Center,(956) 687-7544,"4500 N 10th St Ste 110, McAllen, TX 78504",,4,550000,New / Ready
Salon,Luzie's Hair Design,(956) 686-5301,"210 W Nolana Ave Ste C, McAllen, TX 78504",,4,133000,New / Ready
Nails,Beauty Trends Nails Wax Blowouts,,"5723 N 10th St Ste 110, McAllen, TX 78504",,4,225000,New / Ready
Nails,Foxy Nails,(956) 668-1888,"2708 W Nolana Ave Ste 210, McAllen, TX 78504",,4,129000,New / Ready
Salon,The Perfection Room,(956) 867-0886,"4300 N 23rd St Ste C, McAllen, TX 78504",,4,204000,New / Ready
Barber,Elite Cuts,(956) 994-1188,"5212 N 10th St, McAllen, TX 78504",,4,243000,New / Ready
Salon,MG Color Factory Studio,(956) 483-4836,"1023 Wisteria Ave, McAllen, TX 78504",,4,505000,New / Ready
Barber,Adrian The Barber - Fades & Designs,(956) 573-5555,"1701 W Dove Ave Ste 3, McAllen, TX 78504",,3,205000,New / Ready
Barber,A Cut Above Gentleman's Barber,(956) 668-9638,"100 E Nolana Ave Ste 170, McAllen, TX 78504",,3,187000,New / Ready
Salon,U-Nik Hair Studio,,"1800 N 23rd St Ste 30, McAllen, TX 78504",,3,198000,New / Ready
Nails,O Nails & Spa,(956) 252-0265,"6308 N 10th St Ste 60, McAllen, TX 78504",,3,137000,New / Ready
Salon,Salon Fusion,(956) 534-0125,"6500 N 10th St Ste Q, McAllen, TX 78504",,3,180000,New / Ready
Nails,Nails by Maggie,(956) 971-0992,"1419 W Dove Ave, McAllen, TX 78504",,3,194000,New / Ready
